"metabolite","beta","se","p_val","p_val_Bonf","p_val_fdr","strata","pval_Bonf_neglog","pval_fdr_neglog","sig_Bonf","sig_fdr","is_continuous","p_val_fdr_named","sig_fdr_named"
"dilinoleoylGPE182182",-0.476107316263811,0.951581062533909,0.616840689160384,1,0.904289608101186,"1",0,0.0436924599475297,"Not Sig","Not Sig","Dichotomized",0.861709829536908,"Not Sig"
"trimethylurate",-0.482433105386714,1.08280139585214,0.655928377707198,1,0.904289608101186,"1",0,0.0436924599475297,"Not Sig","Not Sig","Dichotomized",0.861709829536908,"Not Sig"
"alphahydroxypregnanoloneglucuronide",-0.43733401912288,0.896788025833626,0.625785656428924,1,0.904289608101186,"1",0,0.0436924599475297,"Not Sig","Not Sig","Dichotomized",0.861709829536908,"Not Sig"
"alphahydroxypregnenolone3sulfate",-0.67308361772318,0.85514764423117,0.431225446579061,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"methylurate",-1.37396747306633,0.85958088213144,0.10995051984415,1,0.702476160106596,"1",0,0.153368409799874,"Not Sig","Not Sig","Dichotomized",0.683283039677882,"Not Sig"
"stearoylGPG180",0.626140965989439,0.90818903708652,0.490547031002983,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"hydroxypregnenolonemonosulfate1",0.71816163347436,0.882180872992792,0.41560183133744,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.843797657563893,"Not Sig"
"acetamidophenolsulfate",-0.0125795285060791,0.927307772133412,0.989176512867815,1,0.996191949129289,"1",0,0.00165697240372877,"Not Sig","Not Sig","Dichotomized",0.989176512867815,"Not Sig"
"hydroxyphenylpropionate",0.316036377414417,0.863593968275238,0.714398787003688,1,0.929731840745447,"1",0,0.0316422954008967,"Not Sig","Not Sig","Dichotomized",0.903107900551832,"Not Sig"
"hydroxyphenylpropionatesulfate",-0.306932624173658,0.782541626166408,0.694891752006605,1,0.922192792382597,"1",0,0.0351782764353038,"Not Sig","Not Sig","Dichotomized",0.895341295854664,"Not Sig"
"dimethylurate37",0.0513858335041375,0.915996788999961,0.955263523574958,1,0.977174631928414,"1",0,0.0100278161117321,"Not Sig","Not Sig","Dichotomized",0.97800875453356,"Not Sig"
"acetaminophensulfate",-1.28814878802755,0.906570608046915,0.155344995592641,1,0.713197536490891,"1",0,0.146790165623239,"Not Sig","Not Sig","Dichotomized",0.69387431364713,"Not Sig"
"acetylphenolsulfate4",0.889315861910254,0.790569109923142,0.260628908459842,1,0.802119459759178,"1",0,0.0957609473633079,"Not Sig","Not Sig","Dichotomized",0.735962978890276,"Not Sig"
"hydroxyphenylacetate4",0.737089205660113,0.83097377045265,0.375068876729924,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.810632733577578,"Not Sig"
"vinylguaiacolsulfate",0.149573657243915,1.03750787700785,0.885369162726968,1,0.951572448939027,"1",0,0.0215581406647904,"Not Sig","Not Sig","Dichotomized",0.95851951712581,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",0.600421378950112,0.92366347986903,0.515664166998931,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",-0.0580484699613975,1.09096853072411,0.957566023542699,1,0.977174631928414,"1",0,0.0100278161117321,"Not Sig","Not Sig","Dichotomized",0.97800875453356,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",0.045604217215148,0.994144377679049,0.963411608943507,1,0.977174631928414,"1",0,0.0100278161117321,"Not Sig","Not Sig","Dichotomized",0.97800875453356,"Not Sig"
"alphaandrostan3alpha17betadiolmonosulfate2",-3.3714826547857,1.13759841102983,0.00303979880678738,0.432,0.24029353841972,"1",0.365,0.619257907375,"Not Sig","Not Sig","Dichotomized",0.113377937141699,"Not Sig"
"alphapregnan3alphaorbeta20betadioldisulfate",-0.208623059061368,0.965028694504655,0.828844893629376,1,0.951572448939027,"1",0,0.0215581406647904,"Not Sig","Not Sig","Dichotomized",0.941230641918105,"Not Sig"
"hydroxyhexanoate5",1.4500741813436,0.916640276723902,0.113662206803383,1,0.702476160106596,"1",0,0.153368409799874,"Not Sig","Not Sig","Dichotomized",0.683283039677882,"Not Sig"
"hydroxyindoleacetate",0.959179184329943,0.933373892509574,0.304115753944886,1,0.866084293690633,"1",0,0.0624398371937968,"Not Sig","Not Sig","Dichotomized",0.793034875453055,"Not Sig"
"acesulfame",-1.10273628558991,0.885165274951773,0.212838914009739,1,0.755578144734573,"1",0,0.121720612632745,"Not Sig","Not Sig","Dichotomized",0.735962978890276,"Not Sig"
"adenosine35cyclicmonophosphatecAMP",0.13282591409997,0.934628841706401,0.886988209877615,1,0.951572448939027,"1",0,0.0215581406647904,"Not Sig","Not Sig","Dichotomized",0.95851951712581,"Not Sig"
"ADSGEGDFXAEGGGVR",1.22424239281734,1.2339813861052,0.321145007372807,1,0.87293520666431,"1",0,0.0590179904667638,"Not Sig","Not Sig","Dichotomized",0.793034875453055,"Not Sig"
"alphaCEHCglucuronide",1.46244163308141,0.831242953105823,0.0785192340051083,1,0.702476160106596,"1",0,0.153368409799874,"Not Sig","Not Sig","Dichotomized",0.683283039677882,"Not Sig"
"alphaCEHCsulfate",2.01732931351151,0.842861069259152,0.0166916474577027,1,0.338601991284825,"1",0,0.470310492176674,"Not Sig","Not Sig","Dichotomized",0.223668075933216,"Not Sig"
"benzoylcarnitine",-2.65611627488036,0.947662022635475,0.00506595571001565,0.719,0.24029353841972,"1",0.143,0.619257907375,"Not Sig","Not Sig","Dichotomized",0.113377937141699,"Not Sig"
"bradykinindesarg9",-0.255652911473557,0.789861666380417,0.746189433002666,1,0.930381735201404,"1",0,0.0313388240525059,"Not Sig","Not Sig","Dichotomized",0.910754276919686,"Not Sig"
"caffeicacidsulfate",0.619766029769909,0.861688711800036,0.47198945378845,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"campesterol",0.283680927200999,0.933562265859814,0.761227455335857,1,0.93184740222148,"1",0,0.0306552011644653,"Not Sig","Not Sig","Dichotomized",0.910754276919686,"Not Sig"
"chiroinositol",-0.523790816120423,0.805431826163407,0.515483623710086,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"cotinine",-0.956111311138057,0.840403383556031,0.255253536343339,1,0.802119459759178,"1",0,0.0957609473633079,"Not Sig","Not Sig","Dichotomized",0.735962978890276,"Not Sig"
"diacylglycerol16118221601831",2.283129618356,0.880176860075684,0.00948818980983921,1,0.273200798364248,"1",0,0.56351803586649,"Not Sig","Not Sig","Dichotomized",0.158927179314807,"Not Sig"
"dihydroferulicacid",0.970832393580911,0.844780400944099,0.250468271613864,1,0.802119459759178,"1",0,0.0957609473633079,"Not Sig","Not Sig","Dichotomized",0.735962978890276,"Not Sig"
"dimethylsulfone",0.166717661982853,0.900888955135631,0.853182713358303,1,0.951572448939027,"1",0,0.0215581406647904,"Not Sig","Not Sig","Dichotomized",0.952720696583439,"Not Sig"
"dopamine4sulfate",0.296372661732142,0.932731685839245,0.750676883515787,1,0.930381735201404,"1",0,0.0313388240525059,"Not Sig","Not Sig","Dichotomized",0.910754276919686,"Not Sig"
"flavinadeninedinucleotideFAD",1.46062362330247,0.821778083898374,0.0755033997354809,1,0.702476160106596,"1",0,0.153368409799874,"Not Sig","Not Sig","Dichotomized",0.683283039677882,"Not Sig"
"ferulicacid4sulfate",1.26234357259447,1.00132850984779,0.20742821321351,1,0.755251442982522,"1",0,0.121908436291361,"Not Sig","Not Sig","Dichotomized",0.735962978890276,"Not Sig"
"galactonate",-0.671013970674604,1.15502565270499,0.56127309176813,1,0.885564211456383,"1",0,0.0527799430338852,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"glycocholateglucuronide1",0.531288149694835,0.842179724839862,0.528139329000719,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"glycolithocholate",1.38587036011672,0.889239287390084,0.119117183813934,1,0.702476160106596,"1",0,0.153368409799874,"Not Sig","Not Sig","Dichotomized",0.683283039677882,"Not Sig"
"guanidinosuccinate",-0.0991092314486106,1.06463910999022,0.925830586767272,1,0.973836617192241,"1",0,0.0115138995934186,"Not Sig","Not Sig","Dichotomized",0.97800875453356,"Not Sig"
"hydroxycotinine",-0.559778859860196,1.25436869759575,0.655406979322195,1,0.904289608101186,"1",0,0.0436924599475297,"Not Sig","Not Sig","Dichotomized",0.861709829536908,"Not Sig"
"indolin2one",-1.33516075844821,0.91104108496994,0.142775560529707,1,0.702476160106596,"1",0,0.153368409799874,"Not Sig","Not Sig","Dichotomized",0.683283039677882,"Not Sig"
"isoeugenolsulfate",0.838530109786607,0.82776617324744,0.311058443508608,1,0.866084293690633,"1",0,0.0624398371937968,"Not Sig","Not Sig","Dichotomized",0.793034875453055,"Not Sig"
"Iurobilinogen",-0.550060756331146,0.836974455541291,0.511051446729006,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"malonylcarnitine",-1.30543449277081,0.889197503416987,0.142075950424626,1,0.702476160106596,"1",0,0.153368409799874,"Not Sig","Not Sig","Dichotomized",0.683283039677882,"Not Sig"
"myristoylcarnitineC14",0.506321982459564,1.05668498797439,0.631824267049459,1,0.904289608101186,"1",0,0.0436924599475297,"Not Sig","Not Sig","Dichotomized",0.861709829536908,"Not Sig"
"N2furoylglycine",-0.917884817176334,0.945042955410075,0.331417559890829,1,0.87293520666431,"1",0,0.0590179904667638,"Not Sig","Not Sig","Dichotomized",0.793034875453055,"Not Sig"
"Nacetyl3methylhistidine",1.49105865130833,1.00588852836892,0.138252533648696,1,0.702476160106596,"1",0,0.153368409799874,"Not Sig","Not Sig","Dichotomized",0.683283039677882,"Not Sig"
"Nacetylhistamine",-0.54598498819714,0.884327792751836,0.536970169662734,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"Nalphaacetylornithine",-1.01733529818065,0.910077292754364,0.263628529751741,1,0.802119459759178,"1",0,0.0957609473633079,"Not Sig","Not Sig","Dichotomized",0.735962978890276,"Not Sig"
"Nformylphenylalanine",0.424961244972987,0.771103968052652,0.581559926705978,1,0.897625104263574,"1",0,0.0469050098193291,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"Nmethyltaurine",1.17897841194153,0.888900724315993,0.184729403002165,1,0.721788097779055,"1",0,0.141590283694491,"Not Sig","Not Sig","Dichotomized",0.728051176537942,"Not Sig"
"oleoylarachidonoylglycerol1812042",0.92745198826701,1.00308928630544,0.355176277875943,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.810632733577578,"Not Sig"
"phenylacetylglutamate",1.29129597136005,0.968807444152012,0.182573929285603,1,0.721788097779055,"1",0,0.141590283694491,"Not Sig","Not Sig","Dichotomized",0.728051176537942,"Not Sig"
"pregnanoloneallopregnanolonesulfate",0.706952025680198,0.844599641194808,0.402577842855966,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.842897358479679,"Not Sig"
"saccharin",-0.609827457873002,0.79921560404539,0.445444030528627,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"salicyluricglucuronide",0.714568964890815,0.798161152021664,0.370643288505426,1,0.873044607078061,"1",0,0.0589635660161506,"Not Sig","Not Sig","Dichotomized",0.810632733577578,"Not Sig"
"sebacatedecanedioate",0.556114726310634,0.928371757138853,0.549158487224615,1,0.876185451526914,"1",0,0.0574039622672214,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"Smethylmethionine",-1.50917339744898,0.927383224596288,0.103663629591271,1,0.702476160106596,"1",0,0.153368409799874,"Not Sig","Not Sig","Dichotomized",0.683283039677882,"Not Sig"
"sucrose",-0.222815787281107,0.983109542411394,0.820700648051396,1,0.951572448939027,"1",0,0.0215581406647904,"Not Sig","Not Sig","Dichotomized",0.941230641918105,"Not Sig"
"taurobetamuricholate",2.10920220801361,0.752713609652808,0.00507662405112085,0.721,0.24029353841972,"1",0.142,0.619257907375,"Not Sig","Not Sig","Dichotomized",0.113377937141699,"Not Sig"
"tauroursodeoxycholate",-0.554816855275233,1.00184241556783,0.579718102034925,1,0.897625104263574,"1",0,0.0469050098193291,"Not Sig","Not Sig","Dichotomized",0.847054675854359,"Not Sig"
"umbelliferonesulfate",0.253225607840608,1.05350383659051,0.810047192502324,1,0.951572448939027,"1",0,0.0215581406647904,"Not Sig","Not Sig","Dichotomized",0.941230641918105,"Not Sig"
"xanthosine",-1.08653933676333,0.894122483409054,0.224289097622761,1,0.758310758629336,"1",0,0.120152782362101,"Not Sig","Not Sig","Dichotomized",0.735962978890276,"Not Sig"
"dilinoleoylGPE182182",-1.82614280368952,0.673238317744996,0.00667826098680839,0.948,0.20373522622989,"0",0.023,0.690933874119092,"Not Sig","Not Sig","Dichotomized",0.149147828705387,"Not Sig"
"trimethylurate",-0.0544467753915109,0.615844285725522,0.929550836682935,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"alphahydroxypregnanoloneglucuronide",0.0775910607825346,0.728171503173645,0.915141206974142,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"alphahydroxypregnenolone3sulfate",0.177410762879136,0.701668335879888,0.80039081998343,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"methylurate",-0.0400078282113532,0.663570315123236,0.951923257340105,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"stearoylGPG180",-0.0984818280346321,0.747312484783969,0.895157259686088,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"hydroxypregnenolonemonosulfate1",-0.442957069421798,0.678233247558655,0.513689022227424,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"acetamidophenolsulfate",0.237141423226429,0.78349755091634,0.762141149037184,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"hydroxyphenylpropionate",-0.361454479608561,0.665858867282478,0.587240329651068,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"hydroxyphenylpropionatesulfate",-0.0409598941507612,0.709560437053081,0.953967098353578,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"dimethylurate37",-0.654933490792364,0.68555650604653,0.339410255534938,1,0.93394228324232,"0",0,0.029679961932527,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"acetaminophensulfate",-0.179557549251834,0.782887643144354,0.818594642859311,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"acetylphenolsulfate4",0.286312340730345,0.6631966997892,0.665948150304174,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"hydroxyphenylacetate4",-0.490421343242801,0.552682958761983,0.374892324963467,1,0.93394228324232,"0",0,0.029679961932527,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"vinylguaiacolsulfate",-0.760589554318936,0.681485287376168,0.264389490812873,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"alphaandrostan3alpha17alphadiolmonosulfate",0.330999419444791,0.650940001646479,0.611106585805277,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"alphaandrostan3alpha17betadiol17glucuronide",0.766869732835298,0.731092987654955,0.29420758860466,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"alphaandrostan3alpha17betadioldisulfate",-0.33656456673128,0.715776496362015,0.638205688591987,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"alphaandrostan3alpha17betadiolmonosulfate2",1.05246645776533,0.776016855014827,0.175022262164781,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"alphapregnan3alphaorbeta20betadioldisulfate",0.0471768607484379,0.684561428263366,0.945056918265562,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"hydroxyhexanoate5",-0.00835379592333779,0.694622335966294,0.990404564067838,1,0.998664418263746,"0",0,0.00058042346601291,"Not Sig","Not Sig","Dichotomized",0.990404564067838,"Not Sig"
"hydroxyindoleacetate",-0.23414152206174,0.71362270618457,0.742834028083062,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"acesulfame",0.0620694289166508,0.725539601652885,0.931824677203493,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"adenosine35cyclicmonophosphatecAMP",-0.0370265413648505,0.638179388315525,0.953733479935823,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"ADSGEGDFXAEGGGVR",-0.688077127846218,0.649959841788331,0.289761210584413,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"alphaCEHCglucuronide",0.146119722249181,0.709531618235333,0.836839121860674,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"alphaCEHCsulfate",-0.782781345506522,0.675160254170675,0.246292846805525,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"benzoylcarnitine",0.124118893575561,1.02199598957513,0.903336568113388,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"bradykinindesarg9",-0.836347998787227,0.610656086483401,0.170815163692877,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"caffeicacidsulfate",0.0814034696324655,0.776010785654549,0.916455222144974,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"campesterol",0.377949473858388,0.644232458367777,0.557427844063559,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"chiroinositol",-0.353145997901464,0.62585717203304,0.572577384349064,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"cotinine",-0.489088178468204,0.656417314706184,0.456218970269742,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"diacylglycerol16118221601831",0.684704383598335,0.637335258327908,0.282677618863354,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"dihydroferulicacid",-0.475716069913442,0.665046587568481,0.474416028792536,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"dimethylsulfone",0.272252315871694,0.913413425390149,0.765657110841967,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"dopamine4sulfate",-0.957585845696417,0.640774376764607,0.135065958225288,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"flavinadeninedinucleotideFAD",-0.550859271911233,0.648821101371237,0.395872581616806,1,0.953470756560541,"0",0,0.0206926224492799,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"ferulicacid4sulfate",-0.0378799488884521,0.945287167578734,0.96803538600022,1,0.991934822864968,"0",0,0.00351686312810422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"galactonate",0.615351807040354,0.83224244807647,0.459670166571039,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"glycocholateglucuronide1",-0.603045270243896,0.639922215370207,0.346001823679861,1,0.93394228324232,"0",0,0.029679961932527,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"glycolithocholate",0.189279912705302,0.692371496710925,0.784561799045227,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"guanidinosuccinate",-0.529812497579617,0.708401381141313,0.454521240010373,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"hydroxycotinine",-0.454501754916074,0.741251283301243,0.539774012938353,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"indolin2one",-1.1312961948095,0.810725871908694,0.162891789208445,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"isoeugenolsulfate",-0.553088644663901,0.716977735178664,0.440459941386856,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"Iurobilinogen",0.424476710111164,0.680642515332653,0.532863251613146,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"malonylcarnitine",-2.11334386832005,0.761331434093457,0.00550571569916763,0.782,0.20373522622989,"0",0.107,0.690933874119092,"Not Sig","Not Sig","Dichotomized",0.149147828705387,"Not Sig"
"myristoylcarnitineC14",0.309733783062171,0.58250769932098,0.594916620995657,1,0.975023990835385,"0",0,0.010984698189422,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"N2furoylglycine",-1.1062985391626,0.802484616956973,0.168020712865298,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"Nacetyl3methylhistidine",-0.0449195165604946,0.768025737905984,0.953360722215545,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"Nacetylhistamine",0.790488007897223,0.677947784504287,0.24361391400783,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"Nalphaacetylornithine",-0.0416812429970398,0.74404153337867,0.955325835619757,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"Nformylphenylalanine",-1.27478461035745,0.654369812059493,0.0514017594152715,1,0.908206034388299,"0",0,0.0418156168450573,"Not Sig","Not Sig","Dichotomized",0.860979470205798,"Not Sig"
"Nmethyltaurine",0.219121381429311,0.625024141252129,0.725902961261503,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"oleoylarachidonoylglycerol1812042",0.156984596804552,0.657348727687238,0.811249203091194,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"phenylacetylglutamate",-1.94260816189797,0.614247087735808,0.00156375482758424,0.222,0.111026592758481,"0",0.654,0.954572987834469,"Not Sig","Not Sig","Dichotomized",0.104771573448144,"Not Sig"
"pregnanoloneallopregnanolonesulfate",0.161927730442151,0.670541285350381,0.809176850608813,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
"saccharin",-0.347922016342349,0.773410842679767,0.652815666515343,1,0.990191742029237,"0",0,0.00428069990525063,"Not Sig","Not Sig","Dichotomized",0.982702588818405,"Not Sig"
